east_m,north_m,vx_pred,vz_pred,vx_std,vz_std,speed_pred,speed_std
-56.354935,-342.582020,-0.031676,-0.125234,0.424499,0.255658,0.129178,0.268824
-52.257526,-342.582020,0.010005,-0.130576,0.427263,0.255876,0.130959,0.257208
-48.160117,-342.582020,0.047546,-0.135746,0.429252,0.256013,0.143831,0.280205
-44.062708,-342.582020,0.078800,-0.140089,0.427660,0.255910,0.160731,0.306119
-39.965298,-342.582020,0.102932,-0.143563,0.423045,0.255607,0.176650,0.322360
-35.867889,-342.582020,0.119791,-0.144995,0.418533,0.255285,0.188079,0.331351
-31.770480,-342.582020,0.129402,-0.143383,0.417886,0.255224,0.193141,0.338063
-27.673071,-342.582020,0.129981,-0.140999,0.422152,0.255489,0.191770,0.342285
-23.575661,-342.582020,0.119190,-0.140469,0.429198,0.255845,0.184222,0.339362
-19.478252,-342.582020,0.098044,-0.141257,0.436972,0.256140,0.171948,0.326125
-15.380843,-342.582020,0.071275,-0.141928,0.444387,0.256347,0.158819,0.303730
-11.283433,-342.582020,0.044171,-0.142086,0.450552,0.256465,0.148794,0.279047
-7.186024,-342.582020,0.020250,-0.141960,0.454961,0.256516,0.143397,0.261947
-3.088615,-342.582020,0.000956,-0.141781,0.457715,0.256534,0.141785,0.256547
1.008794,-342.582020,-0.013667,-0.141645,0.459260,0.256540,0.142303,0.259135
5.106204,-342.582020,-0.024266,-0.141561,0.460056,0.256541,0.143626,0.264531
9.203613,-342.582020,-0.031697,-0.141516,0.460441,0.256541,0.145022,0.269810
13.301022,-342.582020,-0.036774,-0.141493,0.460617,0.256541,0.146194,0.273996
17.398431,-342.582020,-0.040173,-0.141483,0.460695,0.256541,0.147075,0.277016
-142.400530,-332.032269,-0.046438,-0.141474,0.460751,0.256541,0.148901,0.282950
-138.303121,-332.032269,-0.046472,-0.141474,0.460751,0.256541,0.148911,0.282983
-134.205712,-332.032269,-0.046529,-0.141474,0.460751,0.256541,0.148929,0.283039
-130.108302,-332.032269,-0.046625,-0.141474,0.460751,0.256541,0.148959,0.283133
-126.010893,-332.032269,-0.046786,-0.141474,0.460750,0.256541,0.149009,0.283291
-121.913484,-332.032269,-0.047054,-0.141473,0.460750,0.256541,0.149093,0.283555
-117.816074,-332.032269,-0.047498,-0.141473,0.460748,0.256541,0.149233,0.283992
-113.718665,-332.032269,-0.048227,-0.141470,0.460742,0.256541,0.149464,0.284716
-109.621256,-332.032269,-0.049420,-0.141463,0.460728,0.256541,0.149847,0.285908
-105.523847,-332.032269,-0.051351,-0.141446,0.460694,0.256541,0.150479,0.287862
-101.426437,-332.032269,-0.054447,-0.141403,0.460609,0.256541,0.151524,0.291049
-97.329028,-332.032269,-0.059352,-0.141295,0.460405,0.256541,0.153254,0.296201
-93.231619,-332.032269,-0.067005,-0.141023,0.459922,0.256541,0.156132,0.304385
-89.134210,-332.032269,-0.078707,-0.140357,0.458810,0.256539,0.160918,0.316903
-85.036800,-332.032269,-0.096115,-0.138752,0.456327,0.256528,0.168791,0.334649
-80.939391,-332.032269,-0.120977,-0.135010,0.450973,0.256477,0.181282,0.356453
-76.841982,-332.032269,-0.154190,-0.126685,0.439948,0.256241,0.199559,0.376845
-72.744572,-332.032269,-0.193321,-0.109549,0.418584,0.255255,0.222203,0.385307
-68.647163,-332.032269,-0.227251,-0.078911,0.380898,0.251739,0.240562,0.369176
-64.549754,-332.032269,-0.228285,-0.038986,0.325537,0.242375,0.231590,0.323475
-60.452345,-332.032269,-0.156945,-0.023996,0.275541,0.229534,0.158769,0.274576
-56.354935,-332.032269,-0.032090,-0.058322,0.278857,0.230791,0.066568,0.242812
-52.257526,-332.032269,0.062343,-0.094200,0.315495,0.242167,0.112961,0.266646
-48.160117,-332.032269,0.121305,-0.112647,0.329747,0.245580,0.165542,0.293787
-44.062708,-332.032269,0.174671,-0.116208,0.315570,0.241295,0.209796,0.294778
-39.965298,-332.032269,0.210194,-0.117155,0.286403,0.232732,0.240639,0.274632
-35.867889,-332.032269,0.223887,-0.128319,0.256197,0.223044,0.258052,0.248412
-31.770480,-332.032269,0.256965,-0.095763,0.248922,0.220232,0.274229,0.245603
