Lat,Lon,Sats,Speed,GPS_Alt,Dist,Time,Alt,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,speed_ms,time_s,dt_s,east_raw,north_raw,east_ekf,north_ekf,vx_ekf,vz_ekf,east_rts,north_rts,east_smooth,north_smooth,Lat_smooth,Lon_smooth
36.079018,-79.007984,9,1.12,137.7,-6.57,1086803,-6.57,-6.57368,-6.41396,3.03948,0.19746,0.35522,1.23044,20.65186,50.64309,-100.02923,0.5006705409029951,1001.2000000000002,0.20000000000004547,-1.8872362963493818,3.224652872710676,-2.060346447170196,3.21897111682568,0.2847239801506999,-0.3974301269230221,-2.272074095099368,3.162251092170471,-2.271287270858923,3.101809208765105,36.079016895240386,-79.00798827348204
36.079014,-79.007988,9,0.44,137.7,-9.07,1087603,-9.07,-9.07239,-5.96591,1.84666,-0.31964,-0.77901,-1.0038,-4.10699,27.44811,-39.94446,0.19669199821189093,1002.0000000000001,0.7999999999999545,-2.246709878348617,2.77987316649575,-2.10786491412955,2.85126897511622,0.051012144007730076,-0.29402688932420074,-2.1577322556040275,2.843868899289683,-2.222406857813076,2.9858950031708438,36.079015852798896,-79.007987729571
36.079014,-79.007988,10,0.44,137.8,-9.89,1087803,-9.89,-9.88894,0.8674,-1.84247,3.30432,-0.53374,-3.56379,-2.85004,-2.51388,-32.3005,0.19669199821189093,1002.2000000000002,0.20000000000004547,-2.246709878348617,2.77987316649575,-2.0758246571180576,2.817229645629473,0.0797923482007832,-0.20812379391822722,-2.145063775666313,2.7928784947925456,-2.1705966595796995,2.8689347575769286,36.079014800950134,-79.0079871530591
36.079014,-79.007988,10,0.17,137.8,-5.61,1088603,-5.61,-5.61476,7.36511,0.53061,-0.44975,0.69562,0.28818,20.44724,-26.90734,-46.65303,0.07599463567277605,1003.0000000000001,0.7999999999999545,-2.246709878348617,2.77987316649575,-2.103045583818435,2.6621433317073095,0.002554764954246072,-0.12070826722602965,-2.105395351602918,2.643362902316845,-2.112940787753645,2.767837410455997,36.07901389175985,-79.00798651150018
36.079014,-79.007988,10,0.17,138.1,-6.55,1088803,-6.55,-6.55035,8.48016,0.0676,0.27886,-0.32422,-0.03161,18.81029,-25.5627,-49.26922,0.07599463567277605,1003.2000000000002,0.20000000000004547,-2.246709878348617,2.77987316649575,-2.107488626405609,2.654874932981092,0.014554334824232674,-0.08635782611629507,-2.0983599461389515,2.620999588724177,-2.063671867255162,2.6629265813843395,36.0790129482741,-79.00798596326605
36.079013,-79.00799,10,0.32,138.1,-4.54,1089603,-4.54,-4.53918,8.56391,1.10189,-1.09864,1.08123,0.37721,28.5589,-26.11809,-47.98305,0.1430487259722843,1004.0000000000001,0.7999999999999545,-2.4264466693482345,2.668678240118849,-2.17424573939742,2.5689749365625976,-0.0030103879749469667,-0.1298057041209004,-2.0570558300141597,2.5401031954935474,-2.0282332955103204,2.572444203213448,36.07901213454652,-79.00798556892751
36.079013,-79.00799,10,0.32,138.2,-7.44,1089803,-7.44,-7.43689,9.08315,-1.71446,-0.57788,0.10201,-0.53435,27.52119,-28.85121,-38.27828,0.1430487259722843,1004.2000000000002,0.20000000000004547,-2.4264466693482345,2.668678240118849,-2.2342925176112076,2.5424331969616394,-0.026704357703698688,-0.1398554024614494,-2.042677275342845,2.512300450984651,-1.9988091241457986,2.4761075230791123,36.07901126816994,-79.00798524151351
36.079012,-79.007995,10,0.4,138.2,-3.59,1090603,-3.59,-3.58564,9.27279,-3.64965,1.50364,-1.41308,-3.23346,48.23151,-38.70213,-30.7074,0.17881090746535538,1005.0000000000001,0.7999999999999545,-2.8757886434173026,2.5574833130346253,-2.453962386298538,2.417022844591191,-0.11001057204669634,-0.15523654487938682,-1.9764925552586063,2.3849248041944087,-1.9768041815771844,2.394599419470251,36.079010535149955,-79.00798499665609
36.079012,-79.007995,10,0.4,138.1,0.92,1090803,0.92,0.91825,9.5019,-2.90668,-0.15699,-1.15835,-0.78221,67.07103,-33.68898,-37.69366,0.17881090746535538,1005.2000000000002,0.20000000000004547,-2.8757886434173026,2.5574833130346253,-2.555422292114142,2.3939500754384118,-0.12257430309291384,-0.13926748161146973,-1.9567894617605635,2.3444044531509385,-1.9625190658102265,2.297915761376015,36.079009665652926,-79.00798483770015
36.07901,-79.007993,10,0.02,138.1,1.4,1091603,1.4,1.401,8.28216,-3.24826,0.92088,0.28039,-2.90818,61.82403,-38.92137,-38.78983,0.008940545373267769,1006.0000000000001,0.7999999999999545,-2.69605185356101,2.3350934595735007,-2.585097089933964,2.2901393106731263,-0.008248836698605447,-0.0648731711758463,-1.8950433774434237,2.173668003487421,-1.9624426741003207,2.203524094137761,36.07900881676827,-79.00798483685011
36.07901,-79.007993,10,0.02,137.9,0.72,1091803,0.72,0.71845,8.82353,-3.31226,-0.12431,0.86957,-0.07529,66.19409,-31.62818,-38.2929,0.008940545373267769,1006.2000000000002,0.20000000000004547,-2.69605185356101,2.3350934595735007,-2.639425745509536,2.3024804700522745,-0.03618542099049553,-0.01391383438946052,-1.8738191303661074,2.1447422849808064,-1.9644979641502092,2.0936345453118945,36.07900782850781,-79.00798485972011
